"code","location","registered","envelopes","valid","ObËansk· demokratick· strana","ÿ·d n·roda - Vlasteneck· unie","CESTA ODPOVÃDN… SPOLE»NOSTI","»esk· strana soci·lnÏ demokratick·","Volte Prav˝ Blok-stranu za ODVOLAT.polit.,NÕZK… danÏ,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PÿÕMOU demokr. WWW.CIBULKA.NET","RadostnÈ »esko","STAROSTOV… A NEZ¡VISLÕ","Komunistick· strana »ech a Moravy","Strana zelen˝ch","ROZUMNÕ - stop migraci a dikt·tu EU - penÌze naöim obËan˘m, d˘chodc˘m, dÏtem, zdravotnÏ postiûen˝m...","SpoleËnost proti developerskÈ v˝stavbÏ v ProkopskÈm ˙dolÌ","Strana svobodn˝ch obËan˘","Blok proti islamizaci - Obrana domova","ObËansk· demokratick· aliance","»esk· pir·tsk· strana","OB»AN… 2011-SPRAVEDLNOST PRO LIDI","Unie Hrdosti, Aktivity, VlastenectvÌ, Empatie a Lidskosti 2017","»esk· n·rodnÌ fronta","Referendum o EvropskÈ unii","TOP 09","ANO 2011","Dobr· volba 2016","SdruûenÌ pro republiku - Republik·nsk· strana »eskoslovenska Miroslava Sl·dka","K¯esùansk· a demokratick· unie - »eskoslovensk· strana lidov·","»esk· strana n·rodnÏ soci·lnÌ","REALIST…","SPORTOVCI","DÏlnick· strana soci·lnÌ spravedlnosti","Svoboda a p¯Ìm· demokracie - Tomio Okamura (SPD)","Strana Pr·v ObËan˘","N·rod SobÏ"
552798,Old¯ichov,181,127,127,18,1,0,11,-,1,4,15,0,0,-,1,0,2,9,-,-,-,0,3,45,0,0,2,0,1,0,0,14,0,-
552801,Opa¯any,1†175,790,789,67,2,0,57,-,1,52,110,9,10,-,16,0,3,95,-,-,-,0,28,232,0,1,27,1,6,0,2,70,0,-
552828,Plan· nad LuûnicÌ,3†128,2†021,2†010,248,3,3,137,-,6,187,131,28,18,-,31,2,7,256,-,-,-,1,139,593,0,3,60,3,18,2,1,129,4,-
560553,Pohn·nec,44,33,33,0,0,0,2,-,0,2,5,0,0,-,0,0,0,2,-,-,-,0,0,18,0,1,3,0,0,0,0,0,0,-
552852,Pohn·nÌ,70,49,49,3,0,0,2,-,0,1,6,0,0,-,1,0,0,9,-,-,-,0,3,21,0,0,2,0,0,0,0,0,1,-
552861,Pojbuky,106,58,56,1,0,0,6,-,0,2,10,0,0,-,1,0,0,0,-,-,-,0,2,21,0,0,0,0,0,1,1,11,0,-
552895,P¯eho¯ov,271,145,143,13,0,0,8,-,0,2,29,0,1,-,4,0,1,10,-,-,-,0,7,41,0,0,5,0,2,0,0,17,3,-
563374,Ps·rov,107,61,61,8,0,0,8,-,0,3,3,0,0,-,0,0,0,5,-,-,-,2,4,23,0,0,0,0,0,0,0,5,0,-
552917,RadenÌn,395,257,253,19,0,0,27,-,0,18,21,8,8,-,3,0,0,37,-,-,-,0,12,73,0,0,11,0,3,1,0,11,1,-
552925,RadÏtice,202,121,120,13,0,0,4,-,0,2,19,1,0,-,1,1,1,6,-,-,-,0,4,41,0,0,19,0,0,1,1,6,0,-
563196,Radimovice u T·bora,57,50,50,6,0,0,6,-,0,0,2,0,0,-,4,0,0,4,-,-,-,0,2,18,0,0,3,0,2,0,0,3,0,-
552933,Radimovice u éelËe,313,240,238,24,1,0,22,-,0,16,18,5,3,-,2,0,0,31,-,-,-,0,16,70,0,1,6,0,0,0,0,22,1,-
552941,Radkov,135,120,119,11,1,0,8,-,0,7,13,3,2,-,5,0,0,12,-,-,-,0,10,28,0,1,6,0,2,0,0,9,1,-
552976,Rataje,175,112,112,18,1,0,6,-,0,1,14,0,2,-,1,0,1,5,-,-,-,1,4,39,0,0,5,0,2,1,0,10,1,-
552992,Ratibo¯skÈ Hory,624,388,386,38,0,1,19,-,0,21,50,8,3,-,12,0,0,43,-,-,-,2,12,135,0,0,17,1,3,0,3,17,1,-
560626,Rodn·,88,56,56,0,1,0,7,-,0,1,7,5,1,-,0,0,0,15,-,-,-,0,0,17,0,0,1,0,0,1,0,0,0,-
553018,Roudn·,438,293,290,33,0,2,19,-,0,16,39,3,1,-,5,0,1,30,-,-,-,0,19,75,0,0,10,0,1,0,0,35,1,-
560511,ÿemÌËov,77,57,57,3,0,0,8,-,0,4,5,2,0,-,1,0,0,7,-,-,-,0,1,17,0,0,1,0,1,0,0,6,1,-
553034,ÿepeË,220,153,152,6,0,2,20,-,0,16,23,2,0,-,1,0,0,12,-,-,-,0,2,50,0,0,10,0,1,0,1,6,0,-
599115,ÿÌpec,253,157,157,25,0,0,13,-,0,14,21,0,0,-,1,1,0,10,-,-,-,0,4,50,0,0,4,0,0,0,0,13,1,-
599263,SedleËko u SobÏslavÏ,115,60,60,15,0,0,7,-,0,0,5,3,0,-,0,0,0,3,-,-,-,1,5,15,0,0,0,0,0,0,0,6,0,-
553069,Sezimovo ⁄stÌ,5†863,3†981,3†951,491,2,2,329,-,6,249,273,39,28,-,48,2,2,507,-,-,-,4,230,1†283,2,8,147,2,25,4,0,256,12,-
553077,Skalice,408,288,286,26,0,0,30,-,0,11,16,2,6,-,7,0,2,25,-,-,-,0,23,96,0,2,15,0,1,0,0,22,2,-
553085,Skopytce,140,108,108,9,0,0,10,-,0,7,12,3,1,-,3,0,0,8,-,-,-,1,6,24,0,1,13,0,0,0,0,9,1,-
560669,Skr˝chov u Malöic,110,67,66,5,0,0,3,-,0,9,0,1,0,-,1,0,1,4,-,-,-,0,6,26,0,0,5,0,0,0,0,5,0,-
599026,Slapsko,121,68,67,12,0,0,7,-,0,3,12,3,0,-,0,0,0,11,-,-,-,0,2,13,0,0,1,0,0,1,0,2,0,-
599042,Slapy,356,251,248,21,0,0,20,-,1,9,21,3,2,-,8,0,0,28,-,-,-,0,18,89,0,0,7,0,0,1,0,20,0,-
553123,Smilovy Hory,317,191,190,15,0,0,25,-,0,13,27,1,3,-,2,0,0,13,-,-,-,0,5,54,0,0,9,1,5,0,0,17,0,-
553131,SobÏslav,5†726,3†522,3†509,399,7,3,311,-,5,140,345,31,37,-,82,2,3,375,-,-,-,2,184,1†108,3,5,118,5,33,5,7,287,12,-
553140,St·dlec,471,306,306,36,0,0,28,-,0,24,49,3,4,-,1,0,3,26,-,-,-,0,14,77,0,0,10,0,1,0,1,27,2,-
553166,SudomÏ¯ice u BechynÏ,578,404,403,42,0,2,26,-,2,20,32,3,0,-,7,1,2,45,-,-,-,1,46,100,0,2,19,0,2,1,0,48,2,-
553174,SudomÏ¯ice u T·bora,237,158,158,24,0,0,8,-,1,10,14,1,8,-,3,0,1,19,-,-,-,0,5,46,0,0,9,0,0,0,0,8,1,-
553182,Sviny,264,173,173,22,0,0,17,-,1,5,16,1,2,-,3,0,0,15,-,-,-,0,18,34,0,0,18,0,6,0,1,13,1,-
563170,Svrabov,43,34,33,3,0,0,5,-,0,4,2,0,0,-,0,0,0,1,-,-,-,0,5,10,0,0,3,0,0,0,0,0,0,-
553204,äebÌ¯ov,308,159,157,10,0,0,6,-,2,16,16,0,3,-,1,0,0,17,-,-,-,0,2,63,0,0,15,0,0,0,1,5,0,-
